# Name	RA [J2000]	Dec [J2000]	Distance [Mpc]	S_{60 µm} [Jy]	S_{1.4 GHz} [Jy]
GC0055*	3.7664	-39.2077	3.1	77.0	0.37
NGC0157*	8.6917	-8.3981	21.92	17.93	0.31
NGC0253	11.8776	-25.2753	3.1	967.81	6.0
SMC*	13.2085	-72.7876	0.06	6688.9	1.26
NGC0660	25.7179	13.6358	12.33	65.52	0.37
NGC0839*	32.4288	-10.1842	51.1	11.67	0.37
NGC891	35.6392	42.3491	8.57	66.46	0.7
Maﬀei2	40.4795	59.6041	3.32	135.0	1.01
NGC1068	40.6645	-0.0020	13.7	196.37	4.85
NGC1097	41.6007	-30.2717	16.8	53.35	0.41
NGC1365	53.3839	-36.1408	17.93	94.31	0.53
IC342	56.7021	68.0961	4.6	180.8	2.25
NGC1482*	58.6658	-20.5019	25.09	33.36	0.31
NGC1569	67.7044	64.8479	4.6	54.36	0.4
NGC1672	71.4279	-59.2467	16.82	41.21	0.45
NGC1808	76.9319	-37.5228	12.61	105.55	0.5
LMC*	80.8938	-69.7561	0.05	82917.0	1.21
NGC2146	94.6571	78.3570	16.47	146.69	1.09
NGC2403	114.2140	65.6026	3.22	41.47	0.39
NGC2903	143.0460	21.5101	8.26	60.54	0.44
NGC3034(M82)	148.9680	69.6797	3.63	1480.42	7.29
NGC3079	150.4910	55.6797	18.19	50.67	0.82
NGC3256	156.9876	-43.909	35.35	102.63	0.64
NGC3310	159.6910	53.5034	19.81	34.56	0.42
NGC3521*	166.4550	0.0375	6.84	49.19	0.35
NGC3628	170.0818	13.6037	10.04	54.8	0.47
NGC3627	170.0857	13.0005	10.04	66.31	0.46
NGC3690	172.1340	58.5622	47.74	113.05	0.66
NGC4038/9*	180.4873	-18.8984	21.54	45.16	0.54
NGC4254*	184.7063	14.4272	15.29	37.46	0.37
NGC4303	185.4808	4.4733	15.29	37.27	0.44
NGC4631	190.5330	32.542	7.73	85.4	1.12
NGC4666	191.2860	-0.4619	12.82	37.11	0.43
NGC4818*	194.2083	-8.5272	9.37	20.12	0.45
NGC4945	196.3792	-49.4544	3.92	625.46	6.6
NGC5055(M63)	198.9560	42.0293	7.96	40.0	0.35
ESO173-G015*	201.8517	-57.4900	32.44	81.44	0.48
NGC5194(M51)	202.4700	47.1952	8.73	97.42	1.31
NGC5236(M83)	204.2532	-29.8586	3.6	265.84	2.44
NGC5643*	218.2197	-44.199	13.86	23.48	0.36
UGC09913(Arp220)	233.7379	23.5028	79.9	104.09	0.32
NGC6240	253.2442	2.4008	103.86	22.94	0.65
NGC6946	308.7180	60.1539	5.32	129.78	1.4
NGC7331	339.2670	34.4156	14.71	45.0	0.37
NGC7582*	349.5925	-42.3719	21.29	52.2	0.68
