No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
1,100 MeV-100 GeV LAT,1.13e-11,2.8e-12,2.8e-12,erg/cm^2/s,1.2099999965805e+25,9.33884300159849e-14,2.31404959331644e-14,2.31404959331644e-14,,,1130000000000.0,280000000000.0,280000000000.0,,,Fermi,LAT,50050.0,MeV,from fitting to map,2010ApJS..188..405A
2,0.1-100 GeV (Fermi),1.22e-11,1.3e-12,1.3e-12,erg/cm^2/s,1.20999999658047e+25,1.00826446565933e-13,1.07438016832552e-14,1.07438016832552e-14,,,1220000000000.0,130000000000.0,130000000000.0,,,Fermi,LAT,50.05,GeV,modelled datum,2012ApJS..199...31N
3,14-195 keV (Swift),4.83e-12,3.43e-12,3.43e-12,erg/cm^2/s,2.53000000496374e+19,1.90909090534536e-08,1.35573122263656e-08,1.35573122263656e-08,,,483000000000.0,343000000000.0,343000000000.0,,,Swift,BAT,104.5,keV,from fitting to map,2018ApJS..235....4O
4,15-150 keV (Swift),5.4e-12,3.2e-12,3.2e-12,erg/cm^2/s,1.9899999378467e+19,2.71356792394834e-08,1.60804025122865e-08,1.60804025122865e-08,,,540000000000.0,320000000000.0,320000000000.0,,,Swift,BAT,82.5,keV,modelled datum,2010A&A...524A..64C
5,2-10 keV (XMM),1.205e-11,,,erg/cm^2/s,1.45000006314413e+18,8.31034446569002e-07,,,,,1205000000000.0,,,,,XMM-Newton,EPIC pn,6.0,keV,modelled datum,2011MNRAS.413.1206B
6,2-10 keV (ASCA),1.874e-11,,,erg/cm^2/s,1.45000006e+18,1.29241373962426e-06,,,,,1874000000000.0,,,,,ASCA,GIS,6.0,keV,flux integrated from map or image,2001ApJS..133....1U
7,2-10 keV (BeppoSAX),4.7e-11,4e-12,4e-12,erg/cm^2/s,1.45000006e+18,3.24137917621879e-06,2.75862057550536e-07,2.75862057550536e-07,,,4700000000000.0,400000000000.0,400000000000.0,,,BeppoSAX,WFC,6.0,keV,flux integrated from map or image,2007A&A...472..705V
8,0.5-10 keV (Chandra),4.2e-12,,,erg/cm^2/s,1.26999998e+18,3.30708666625333e-07,,,,,420000000000.0,,,,,Chandra,ACIS-I,5.25,keV,modelled datum,2004ApJ...606..862O
9,0.3-8 keV (Chandra),,,,erg/cm^2/s,9.9999998430675e+17,,,,1.89000002966024e-09,,,,,1890000000.0,,Chandra,ACIS-I,4.15,keV,flux integrated from map or image,2011ApJ...731...60G
10,0.7-7 keV (ASCA),2.365e-11,,,erg/cm^2/s,9.30999995e+17,2.54027928324532e-06,,,,,2365000000000.0,,,,,ASCA,GIS,3.85,keV,flux integrated from map or image,2001ApJS..133....1U
11,2-7 keV Chandra,9.7249e-14,2.1634e-15,2.1634e-15,erg/cm^2/s,9.18835911992269e+17,1.05839153183144e-08,2.35452560289263e-10,2.35452560289263e-10,,,9724881483.9524,216342267.9643,216342267.9643,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
12,2-7 keV Chandra,7.8175e-14,3.1844e-15,3.1844e-15,erg/cm^2/s,9.18835911992269e+17,8.50802067844816e-09,3.46569397148551e-10,3.46569397148551e-10,,,7817474939.331,318440408.0976,318440408.0976,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
13,2-7 keV Chandra,8.662e-14,2.0279e-15,2.0279e-15,erg/cm^2/s,9.18835911992269e+17,9.42714543247585e-09,2.20700829706367e-10,2.20700829706367e-10,,,8661999770.9327,202787848.1407,202787848.1407,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
14,2-7 keV Chandra,8.9528e-14,3.4795e-15,3.4795e-15,erg/cm^2/s,9.18835911992269e+17,9.74358504867889e-09,3.78681379588837e-10,3.78681379588837e-10,,,8952755854.2771,347946050.769,347946050.769,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
15,0.5-7 keV Chandra,9.0237e-14,2.5737e-15,2.5737e-15,erg/cm^2/s,5.56137525679531e+17,1.6225641310686e-08,4.6278683235468e-10,4.6278683235468e-10,,,9023688011.0885,257373123.8628,257373123.8628,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
16,0.5-7 keV Chandra,1.4368e-13,1.8026e-15,1.8026e-15,erg/cm^2/s,5.56137525679531e+17,2.58357057243563e-08,3.24130515524451e-10,3.24130515524451e-10,,,14368205455.728,180261142.900999,180261142.900999,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
17,0.5-7 keV Chandra,1.0996e-13,1.5903e-15,1.5903e-15,erg/cm^2/s,5.56137525679531e+17,1.97716394342435e-08,2.85956727842964e-10,2.85956727842964e-10,,,10995750633.588,159031267.074001,159031267.074001,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
18,0.5-7 keV Chandra,1.2609e-13,2.8973e-15,2.8973e-15,erg/cm^2/s,5.56137525679531e+17,2.26733238242263e-08,5.2096916913669e-10,5.2096916913669e-10,,,12609486210.536,289730504.679,289730504.679,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
19,0.2-4 keV (EINSTEIN),1.8714e-11,,,erg/cm^2/s,5.24599984e+17,3.56652698639808e-06,,,,,1871000000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
20,0.2-4 keV (EINSTEIN),2.3545e-11,,,erg/cm^2/s,5.24599984e+17,4.48913471564269e-06,,,,,2355000000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
21,1.2-2 keV Chandra,1.4013e-14,4.7141e-16,4.7141e-16,erg/cm^2/s,3.77206321765247e+17,3.71505159294074e-09,1.2497501105095e-10,1.2497501105095e-10,,,1401340946.5413,47141364.2310999,47141364.2310999,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
22,1.2-2 keV Chandra,2.1809e-14,1.0007e-15,1.0007e-15,erg/cm^2/s,3.77206321765247e+17,5.78163545885123e-09,2.65295780382437e-10,2.65295780382437e-10,,,2180869445.2208,100071245.4979,100071245.4979,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
23,1.2-2 keV Chandra,9.6529e-15,6.5524e-16,6.5524e-16,erg/cm^2/s,3.77206321765247e+17,2.55905552610689e-09,1.73707591969384e-10,1.73707591969384e-10,,,965291922.19581,65523601.8294699,65523601.8294699,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
24,1.2-2 keV Chandra,2.6428e-14,6.3399e-16,6.3399e-16,erg/cm^2/s,3.77206321765247e+17,7.00637228448325e-09,1.68074039566219e-10,1.68074039566219e-10,,,2642847918.3479,63398590.249,63398590.249,,,Chandra,"ACIS, HRC-I",1.56,keV,flux in fixed aperture,2020CSC...C2..0000:
25,0.7-2 keV (ASCA),9.68e-12,,,erg/cm^2/s,3.26000009e+17,2.969325071399e-06,,,,,968000000000.0,,,,,ASCA,GIS,1.35,keV,flux integrated from map or image,2001ApJS..133....1U
26,0.5-1.2 keV Chandra,1.6331e-14,7.5742e-16,7.5742e-16,erg/cm^2/s,2.22455010271813e+17,7.34119468237452e-09,3.40482981367119e-10,3.40482981367119e-10,,,1633085538.475,75742145.1173999,75742145.1173999,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
27,0.5-1.2 keV Chandra,2.0303e-14,4.8205e-16,4.8205e-16,erg/cm^2/s,2.22455010271813e+17,9.12690181054989e-09,2.16696145862479e-10,2.16696145862479e-10,,,2030325036.0157,48205143.3537,48205143.3537,,,Chandra,"ACIS, HRC-I",0.92,keV,flux in fixed aperture,2020CSC...C2..0000:
28,0.5-1.2 keV Chandra,6.6031e-15,4.778e-16,4.778e-16,erg/cm^2/s,2.22455010271813e+17,2.96830745278601e-09,2.14784318693919e-10,2.14784318693919e-10,,,660314864.89941,47779847.82128,47779847.82128,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
29,0.5-1.2 keV Chandra,9.7854e-15,3.5113e-16,3.5113e-16,erg/cm^2/s,2.22455010271813e+17,4.3988241546984e-09,1.57842788773948e-10,1.57842788773948e-10,,,978540472.51733,35112919.1980401,35112919.1980401,,,Chandra,"ACIS, HRC-I",0.92,keV,from fitting to map,2020CSC...C2..0000:
30,0.2-0.5 keV Chandra,,,,erg/cm^2/s,9.67195696833967e+16,,,,4.21859021516079e-11,,,,,4080202.3028094,,Chandra,"ACIS, HRC-I",0.4,keV,from fitting to map,2020CSC...C2..0000:
31,0.2-0.5 keV Chandra,,,,erg/cm^2/s,9.67195696833967e+16,,,,3.54021662929068e-10,,,,,34240822.8971,,Chandra,"ACIS, HRC-I",0.4,keV,from fitting to map,2020CSC...C2..0000:
32,0.2-0.5 keV Chandra,,,,erg/cm^2/s,9.67195696833967e+16,,,,6.36479079024218e-10,,,,,61559982.635707,,Chandra,"ACIS, HRC-I",0.4,keV,flux in fixed aperture,2020CSC...C2..0000:
33,0.2-0.5 keV Chandra,,,,erg/cm^2/s,9.67195696833967e+16,,,,1.01397174274269e-10,,,,,9807091.0629197,,Chandra,"ACIS, HRC-I",0.4,keV,flux in fixed aperture,2020CSC...C2..0000:
34,FUV (GALEX) AB,13.39,0.01,0.01,mag,1980000060000000.0,0.016,0.0001473,0.0001473,,,31680000960000.0,291654008838.0,291654008838.0,,,GALEX,FUV detector,1516.0,A,total flux; beam filling or dilution corrected,2007ApJS..173..185G
35,FUV (GALEX) AB,12.345,0.016,0.016,mag,1980000056115200.0,0.04188,0.0006172,0.0006172,,,82922402350104.6,1222056034634.3,1222056034634.3,,,GALEX,FUV detector,1516.0,A,flux in fixed aperture,2009ApJ...703.1569M
36,FUV (GALEX) AB,12.54,0.01,0.01,mag,1960000004030460.0,0.035,0.0003223,0.0003223,,,68600000141066.1,631708001299.017,631708001299.017,,,GALEX,FUV detector,1530.0,A,total flux; beam filling or dilution corrected,2018ApJS..234...18B
37,FUV (GALEX),50.08,6.93,6.93,mJy,1960000000000000.0,0.05008,0.00693,0.00693,,,98156800000000.0,13582800000000.0,13582800000000.0,,,GALEX,FUV detector,1528.0,A,flux integrated from map or image,2007ApJ...655..863D
38,FUV (GALEX),12.94,0.01,0.01,mag,1949999977988100.0,0.003472,3.198e-05,3.198e-05,,,6770399923574.68,62360999296.0594,62360999296.0594,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
39,FUV (GALEX) AB,12.56,0.09,0.09,mag,1949999977988100.0,0.03436,0.002848,0.002848,,,67001999243671.1,5553599937310.11,5553599937310.11,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2011ApJS..192....6L
40,FUV (GALEX),12.61,0.03,0.03,mag,1949999977988100.0,0.004706,0.00013,0.00013,,,9176699896412.0,253499997138.453,253499997138.453,,,GALEX,FUV detector,1539.0,A,flux in fixed aperture,2015ApJS..220....6B
41,1550 A (OAO),10.47,0.53,0.53,mag,1930000060000000.0,0.018898,0.011892,0.011892,,,36473141133880.0,22951560713520.0,22951560713520.0,,,OAO,Photometer,1550.0,A,flux in fixed aperture,1982ApJ...256....1C
42,UV_1650 (m_T),11.0,0.31,0.31,mag,1817000010000000.0,0.013128,0.004338,0.004338,,,23853576131280.0,7882146043380.0,7882146043380.0,,,IUE,ULDA,1650.0,A,multiple methods,1995A&AS..114..527R
43,1910 A (OAO),10.71,0.4,0.4,mag,1570000060000000.0,0.023005,0.010247,0.010247,,,36117851380300.0,16087790614820.0,16087790614820.0,,,OAO,Photometer,1910.0,A,flux in fixed aperture,1982ApJ...256....1C
44,m(2000),11.0,0.3,0.3,mag,1498999960000000.0,0.018022,0.0057357,0.0057357,,,27014977279120.0,8597814070572.0,8597814070572.0,,,Balloon,SCAP 2000,2000.0,A,flux integrated from map or image,1987A&A...180...12D
